% The water continuum used by the December 2002 "version 7" AIRS
% fast model coefficient is a hybrid of kCARTA's 51 (aka 5.1) and
% 55 (aka 5.5) continuum models developed by UMBC based on the
% CDK models.
%
% Scott Hannon, 13 March 2003
%
% ID = AIRS channel ID (PGE version)
% freq = channel centroid frequency (cm^-1)
% CKD = kCARTA continuum version number
% mult = multiplier applied to the kCARTA continuum 
%
% in SPECTRA/ckd_lookupBIN_v60special.m we combine CKD 51 and CKD 55 as below
%
% ID    freq   CKD   mult
%---- -------- --- --------
  504  811.784  51  0.87000
  505  812.157  51  0.87000
  506  812.531  51  0.87000
  507  812.905  51  0.87000
  508  813.279  51  0.87000
  509  813.654  51  0.87000
  510  814.029  51  0.87000
  511  814.404  51  0.87000
  512  814.779  51  0.87000
  513  815.155  51  0.87000
  514  815.532  51  0.87000
  515  815.908  51  0.87000
  516  816.285  51  0.87000
  517  816.662  51  0.87000
  518  817.040  51  0.87000
  519  817.418  51  0.87000
  520  817.796  51  0.87000
  521  818.174  51  0.87000
  522  818.553  51  0.87000
  523  818.933  51  0.87000
  524  819.312  51  0.87000
  525  819.692  51  0.87000
  526  820.072  51  0.87000
  527  820.453  51  0.87000
  528  820.834  51  0.87000
  529  821.215  51  0.87000
  530  821.596  51  0.87000
  531  821.978  51  0.87000
  532  822.361  51  0.87000
  533  822.743  51  0.87000
  534  823.126  51  0.87000
  535  823.509  51  0.87000
  536  823.893  51  0.87000
  537  824.277  51  0.87000
  538  824.661  51  0.87000
  539  825.046  51  0.87000
  540  825.431  51  0.87000
  541  825.816  51  0.87000
  542  826.202  51  0.87000
  543  826.587  51  0.87000
  544  826.974  51  0.87000
  545  827.360  51  0.87000
  546  827.747  51  0.87000
  547  828.135  51  0.87000
  548  828.522  51  0.87000
  549  828.910  51  0.87000
  550  829.299  51  0.87000
  551  829.687  51  0.87000
  552  830.076  51  0.87000
  553  830.466  51  0.87000
  554  830.856  51  0.87000
  555  831.246  51  0.87000
  556  831.636  51  0.87000
  557  832.027  51  0.87000
  558  832.418  51  0.87000
  559  832.809  51  0.87000
  560  833.201  51  0.87000
  561  833.593  51  0.87000
  562  833.986  51  0.87000
  563  834.379  51  0.87000
  564  834.772  51  0.87000
  565  835.166  51  0.87000
  566  835.559  51  0.87000
  567  835.954  51  0.87000
  568  836.348  51  0.87000
  569  836.743  51  0.87000
  570  837.139  51  0.87000
  571  837.534  51  0.87000
  572  837.930  51  0.87000
  573  838.327  51  0.87000
  574  838.723  51  0.87000
  575  839.120  51  0.87000
  576  839.518  51  0.87000
  577  839.916  51  0.87000
  578  840.314  51  0.87000
  579  840.712  51  0.87000
  580  841.111  51  0.87000
  581  841.510  51  0.87000
  582  841.910  51  0.87000
